NOMEUC;CODUC;PROCESSO;EMPREENDIMENTO;EMPREENDEDOR;DESTINACAO;APLICACAO;ACAODEST;ACAOAPL;REUNIAO;TIPO;DATA
MONUMENTO NATURAL DAS ILHAS CAGARRAS;0000.00.0034;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1100962,42;;0;;23;O;01/29/14
ESTAÇÃO ECOLÓGICA TUPINAMBÁS;0000.00.0064;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1100962,42;;0;;23;O;01/29/14
ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;0000.00.0071;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1100962,42;;0;;23;O;01/29/14
ESTAÇÃO ECOLÓGICA DE CARIJÓS;0000.00.0052;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1100962,42;;0;;23;O;01/29/14
PARQUE NACIONAL RESTINGA DE JURUBATIBA;0000.00.0141;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1100962,42;;0;;23;O;01/29/14
PARQUE NACIONAL DA SERRA DA BOCAINA;0000.00.0142;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1100962,42;;0;;23;O;01/29/14
RESERVA BIOLÓGICA DE UNA;0000.00.0202;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1100962,42;;0;;23;O;01/29/14
PARQUE NACIONAL DE JERICOACOARA;0000.00.0162;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1100962,42;;0;;23;O;01/29/14
REFUGIO DE VIDA SILVESTRE ILHA DOS LOBOS;0000.00.0190;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1100962,42;;0;;23;O;01/29/14
PARQUE NACIONAL DO MONTE PASCOAL;0000.00.0182;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1100962,42;;0;;23;O;01/29/14
PARQUE NACIONAL MARINHO DOS ABROLHOS;0000.00.0185;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA;0000.00.0186;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
PARQUE NACIONAL DA SERRA DA CUTIA;0000.00.0188;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;;1140000;;3;23;O;01/29/14
REFUGIO DE VIDA SILVESTRE ILHA DOS LOBOS;0000.00.0190;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
RESERVA BIOLÓGICA DE COMBOIOS;0000.00.0195;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
RESERVA BIOLÓGICA DE SANTA ISABEL;0000.00.0199;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
RESERVA BIOLÓGICA DE UNA;0000.00.0202;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
RESERVA BIOLÓGICA ATOL DAS ROCAS;0000.00.0203;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
RESERVA BIOLÓGICA DO GUAPORÉ;0000.00.0206;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;;2400000;;3;23;O;01/29/14
RESERVA BIOLÓGICA DO JARU;0000.00.0208;02001.004859/2011-74;UHE JIRAU/RO;ENERGIA SUSTENTÁVEL DO BRASIL S.A.;;33442136,04;;1;23;O;01/29/14
RESERVA BIOLÓGICA DO JARU;0000.00.0208;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;;10946850,83;;1;23;O;01/29/14
RESERVA BIOLÓGICA DO JARU;0000.00.0208;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;;800000;;3;23;O;01/29/14
RESERVA BIOLÓGICA DO LAGO PIRATUBA;0000.00.0209;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
RESERVA BIOLÓGICA DO TINGUÁ;0000.00.0212;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;1579677,88;;1;;23;O;01/29/14
RESERVA BIOLÓGICA DO TINGUÁ;0000.00.0212;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;;1579677;;1;23;O;01/29/14
RESERVA BIOLÓGICA MARINHA DO ARVOREDO;0000.00.0214;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
ESTAÇÃO ECOLÓGICA DE MATA PRETA;0000.00.0261;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;;3000000;;1;23;O;01/29/14
PARQUE NACIONAL DAS ARAUCÁRIAS;0000.00.0262;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;;3468000;;1;23;O;01/29/14
ESTAÇÃO ECOLÓGICA DA GUANABARA;0000.00.0263;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS;0000.00.0284;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;;4000000;;1;23;O;01/29/14
PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS;0000.00.0284;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;;1300000;;3;23;O;01/29/14
PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS;0000.00.0284;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;;200000;;5;23;O;01/29/14
PARQUE ESTADUAL DE ITAÚNAS;0000.32.0331;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;1000000;;1;;23;O;01/29/14
PARQUE ESTADUAL DE ITAÚNAS;0000.32.0331;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;;1000000;;1;23;O;01/29/14
PARQUE ESTADUAL PAULO CÉSAR VINHA;0000.32.0332;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;1000000;;1;;23;O;01/29/14
PARQUE ESTADUAL PAULO CÉSAR VINHA;0000.32.0332;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;;1000000;;1;23;O;01/29/14
RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL;0000.33.0728;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;833333,33;;0;;23;O;01/29/14
PARQUE ESTADUAL DAS ARAUCÁRIAS;0000.42.0788;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;3468000;;1;;23;O;01/29/14
PARQUE ESTADUAL DA SERRA DO MAR;0000.35.0798;02001.004462/2007-04;UNIDADE DE TRATAMENTO DE GAS DE CARAGUATATUBA - ESTADO DE SAO PAULO;PETROBRAS;;400000;;3;23;O;01/29/14
PARQUE ESTADUAL DA SERRA DA TIRIRICA;0000.33.1476;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;833333,33;;;;23;O;01/29/14
RESERVA BIOLÓGICA ESTADUAL DE GUARATIBA;0000.33.1482;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;833333,33;;0;;23;O;01/29/14
PARQUE ESTADUAL CUNHAMBEBE;0000.33.1620;02001.004643/2013-71;SISTEMA DE DESENVOLVIMENTO DA PRODUÇÃO DO CAMPO DE PAPA-TERRA.;PETROBRAS;833333,33;;0;;23;O;01/29/14
PARQUE NACIONAL MAPINGUARI;0000.00.1633;02001.004859/2011-74;UHE JIRAU/RO;ENERGIA SUSTENTÁVEL DO BRASIL S.A.;;4946850,83;;1;23;O;01/29/14
PARQUE NACIONAL MAPINGUARI;0000.00.1633;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;;8000000;;1;23;O;01/29/14
PARQUE NACIONAL MAPINGUARI;0000.00.1633;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;;1570000;;3;23;O;01/29/14
PARQUE ESTADUAL PAU FURADO;0000.31.1770;02001.003037/2006-17;ADEQUACAO DA CAPACIDADE DA BR - 050 - TR. ENTRE UBERLÂNDIA E A DIVISA DOS ESTADOS DE MG E SP;DNIT;;47162;;3;23;O;01/29/14
REFúGIO DE VIDA SILVESTRE DO RIO DOS FRADES;0000.00.1813;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
REFúGIO DE VIDA SILVESTRE DE UNA;0000.00.1880;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
REFÚGIO DE VIDA SILVESTRE DE SANTA CRUZ;0000.00.1911;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
PARQUE NATURAL MUNICIPAL SAINT HILAIRE;2300.43.3400;02001.004924/2013-23;PROJETO DE DESENVOLVIMENTO INTEGRADO DO NORTE DO PARQUE DAS BALEIAS (FPSO P-58);PETROBRAS;436400;;0;;23;O;01/29/14
PARQUE ESTADUAL DA SERRA DO MAR;0000.35.0798;02001.004997/2013-15;TERMINAL PORTUÁRIO DA BTP;BRASIL TERMINAL PORTUÁRIO S.A;625482;;0;;24;O;01/29/14
PARQUE ESTADUAL XIXOVÁ-JAPUÍ;0000.35.0833;02001.004997/2013-15;TERMINAL PORTUÁRIO DA BTP;BRASIL TERMINAL PORTUÁRIO S.A;625482;;0;;24;O;01/29/14
PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS;0000.35.0834;02001.004997/2013-15;TERMINAL PORTUÁRIO DA BTP;BRASIL TERMINAL PORTUÁRIO S.A;625482;;0;;24;O;01/29/14
PARQUE ESTADUAL DE ESPIGãO ALTO;0000.43.1019;02001.001414/2012-13;LT 525 KV CAMPOS NOVOS - NOVA SANTA RITA;ELETROSUL CENTRAIS ELÉTRICAS S.A.;;200000;;3;24;O;01/29/14
PARQUE ESTADUAL DE ÁGUAS QUENTES;0000.51.1467;02001.001290/2012-76;LINHA DE TRANSMISSÃO 500 KV CUIABÁ-RIBEIRÃOZINHO-RIO VERDE;CATXERE TRANSMISSORA DE ENERGIA S.A.;;200000;;1;24;O;01/29/14
APA MARINHA DO LITORAL CENTRO;0000.35.1723;02001.004997/2013-15;TERMINAL PORTUÁRIO DA BTP;BRASIL TERMINAL PORTUÁRIO S.A;625482;;0;;24;O;01/29/14
PARQUE ESTADUAL DE PARAÚNA;0000.52.1743;02001.001290/2012-76;LINHA DE TRANSMISSÃO 500 KV CUIABÁ-RIBEIRÃOZINHO-RIO VERDE;CATXERE TRANSMISSORA DE ENERGIA S.A.;;100000;;1;24;O;01/29/14
ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL;0000.00.0023;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;1388730,66;;0;;25;O;02/26/14
MONUMENTO NATURAL DAS ILHAS CAGARRAS;0000.00.0034;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
ESTAÇÃO ECOLÓGICA DE CARIJÓS;0000.00.0052;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA;0000.00.0058;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
ESTAÇÃO ECOLÓGICA DE TAMOIOS;0000.00.0063;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
ESTAÇÃO ECOLÓGICA TUPINAMBÁS;0000.00.0064;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
ESTAÇÃO ECOLÓGICA DO TAIM;0000.00.0070;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;0000.00.0071;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
ESTAÇÃO ECOLÓGICA RASO DA CATARINA;0000.00.0074;02001.003236/2013-46;"LT 230KV GARANHUNS - ANGELIM I; LT 500KV GARANHUNS - CAMPINA GRANDE - PAU FERRO - LUIZ GONZAGA";INTERLIGAÇÃO ELÉTRICA GARANHUNS S/A;666315,35;;0;;25;O;02/26/14
PARQUE NACIONAL DA LAGOA DO PEIXE;0000.00.0140;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL RESTINGA DE JURUBATIBA;0000.00.0141;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL DA SERRA DA CANASTRA;0000.00.0144;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL DA SERRA GERAL;0000.00.0153;02001.001414/2012-13;LT 525 KV CAMPOS NOVOS - NOVA SANTA RITA;ELETROSUL CENTRAIS ELÉTRICAS S.A.;;335303;;1;25;O;02/26/14
PARQUE NACIONAL DAS EMAS;0000.00.0155;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL DE BRASÍLIA;0000.00.0159;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;1388730,66;;0;;25;O;02/26/14
PARQUE NACIONAL DE JERICOACOARA;0000.00.0162;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL DE SAINT-HILAIRE/LANGE;0000.00.0164;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;;;25;O;02/26/14
PARQUE NACIONAL DO CABO ORANGE;0000.00.0169;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL DO CATIMBAU;0000.00.0170;02001.003236/2013-46;"LT 230KV GARANHUNS - ANGELIM I; LT 500KV GARANHUNS - CAMPINA GRANDE - PAU FERRO - LUIZ GONZAGA";INTERLIGAÇÃO ELÉTRICA GARANHUNS S/A;666315,35;;0;;25;O;02/26/14
PARQUE NACIONAL DO SUPERAGUI;0000.00.0178;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL DOS LENÇOIS MARANHENSES;0000.00.0180;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL DO MONTE PASCOAL;0000.00.0182;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL DO ITATIAIA;0000.00.0184;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;1388730,66;;0;;25;O;02/26/14
PARQUE NACIONAL MARINHO DOS ABROLHOS;0000.00.0185;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA;0000.00.0186;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
REFUGIO DE VIDA SILVESTRE ILHA DOS LOBOS;0000.00.0190;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
RESERVA BIOLÓGICA DA CONTAGEM;0000.00.0192;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;1388730,66;;0;;25;O;02/26/14
RESERVA BIOLÓGICA DE COMBOIOS;0000.00.0195;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
RESERVA BIOLÓGICA DE SANTA ISABEL;0000.00.0199;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;;;25;O;02/26/14
RESERVA BIOLÓGICA DE UNA;0000.00.0202;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
RESERVA BIOLÓGICA ATOL DAS ROCAS;0000.00.0203;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
RESERVA BIOLÓGICA DO LAGO PIRATUBA;0000.00.0209;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
RESERVA BIOLÓGICA MARINHA DO ARVOREDO;0000.00.0214;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
ESTAÇÃO ECOLÓGICA DA GUANABARA;0000.00.0263;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
PARQUE NACIONAL DOS CAMPOS GERAIS;0000.00.0277;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;4856736;;1;;25;O;02/26/14
PARQUE NACIONAL DOS CAMPOS GERAIS;0000.00.0277;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;;4856736;;1;25;O;02/26/14
ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS;0000.29.0320;02001.005038/2013-17;SALVADOR BAHIA MARINA;BAHIA MARINA S/A;43622,5;;0;;25;O;02/26/14
PARQUE ESTADUAL DE ITAÚNAS;0000.32.0331;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;376012,98;;0;;25;O;02/26/14
PARQUE ESTADUAL PAULO CÉSAR VINHA;0000.32.0332;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;376012,98;;0;;25;O;02/26/14
PARQUE ESTADUAL SERRA DO BRIGADEIRO;0000.31.0385;02001.004257/2007-31;Mineroduto Minas - Rio;ANGLO AMERICAN MINÉRIO DE FERRO BRASIL S/A;;2500000;;1;25;O;02/26/14
PARQUE ESTADUAL SERRA DO BRIGADEIRO;0000.31.0385;02001.004257/2007-31;Mineroduto Minas - Rio;ANGLO AMERICAN MINÉRIO DE FERRO BRASIL S/A;;2500000;;3;25;O;02/26/14
PARQUE ESTADUAL NOVA BADEN;0000.31.0395;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;150000;;0;;25;O;02/26/14
PARQUE ESTADUAL PICO DO ITAMBÉ;0000.31.0404;02001.004257/2007-31;Mineroduto Minas - Rio;ANGLO AMERICAN MINÉRIO DE FERRO BRASIL S/A;;1000000;;3;25;O;02/26/14
PARQUE ESTADUAL SERRA DO PAPAGAIO;0000.31.0406;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;150000;;0;;25;O;02/26/14
ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL GUARAQUEÇABA;0000.41.0496;02001.004418/2007-96;AMPLIAÇÃO SIS PROD E ESCOAM PETRÓ E GÁS CAMPO GOLFINHO MÓD II CAMPO CANAPU B. ESPÍRITO SANTO;PETROBRAS;258620,68;;0;;25;O;02/26/14
PARQUE ESTADUAL DA SERRA DO MAR;0000.35.0798;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;25000;;0;;25;O;02/26/14
PARQUE ESTADUAL DA SERRA DO MAR;0000.35.0798;02001.003741/2013-91;DUPLICAÇÃO DA BR 116/SP - SERRA DO CAFEZAL;AUTOPISTA REGIS BITTENCOURT;610743,52;;0;;25;O;02/26/14
PARQUE ESTADUAL DA SERRA DO MAR;0000.35.0798;02001.005417/2007-69;GASODUTO CARAGUATATUBA TAUBATÉ;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;;500000;;1;25;O;02/26/14
PARQUE ESTADUAL DE CAMPOS DO JORDÃO;0000.35.0800;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;25000;;0;;25;O;02/26/14
PARQUE ESTADUAL DO JURUPARÁ;0000.35.0801;02001.003741/2013-91;DUPLICAÇÃO DA BR 116/SP - SERRA DO CAFEZAL;AUTOPISTA REGIS BITTENCOURT;610743,52;;0;;25;O;02/26/14
ESTAÇÃO ECOLÓGICA DE PAULO DE FARIA;0000.35.0807;02001.005288/2013-57;GASODUTO DO BRASIL CENTRAL;TRANSPORTADORA DE GÁS DO BRASIL CENTRAL S.A - TGBC;25000;;0;;25;O;02/26/14
